+-------+-----+-----+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+-------------+-------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)  |  AVG(BODY)  |
| 5     | 0   | 5   | 0   | 0   | 0   | GET    | /js/timeago.min.js | 0.001 | 0.004 | 0.007   | 0.001 | 0.004 | 0.004 | 0.004 | 0.001  | 1915.000    | 1915.000    | 9575.000    | 1915.000    |
| 5     | 0   | 5   | 0   | 0   | 0   | GET    | /css/style.css     | 0.001 | 0.003 | 0.006   | 0.001 | 0.003 | 0.003 | 0.003 | 0.001  | 1549.000    | 1549.000    | 7745.000    | 1549.000    |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9987.jpg    | 0.003 | 0.003 | 0.006   | 0.003 | 0.003 | 0.003 | 0.003 | 0.000  | 367761.000  | 367777.000  | 735538.000  | 367769.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9980.jpg    | 0.002 | 0.004 | 0.006   | 0.003 | 0.004 | 0.004 | 0.004 | 0.001  | 96012.000   | 96035.000   | 192047.000  | 96023.500   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9999.jpg    | 0.002 | 0.004 | 0.006   | 0.003 | 0.004 | 0.004 | 0.004 | 0.001  | 90021.000   | 90036.000   | 180057.000  | 90028.500   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9997.jpg    | 0.001 | 0.004 | 0.005   | 0.003 | 0.004 | 0.004 | 0.004 | 0.002  | 176584.000  | 176601.000  | 353185.000  | 176592.500  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9988.jpg    | 0.002 | 0.002 | 0.004   | 0.002 | 0.002 | 0.002 | 0.002 | 0.000  | 111647.000  | 111647.000  | 223294.000  | 111647.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9985.jpg    | 0.001 | 0.002 | 0.003   | 0.002 | 0.002 | 0.002 | 0.002 | 0.001  | 83341.000   | 83357.000   | 166698.000  | 83349.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9991.jpg    | 0.001 | 0.002 | 0.003   | 0.002 | 0.002 | 0.002 | 0.002 | 0.001  | 153638.000  | 153638.000  | 307276.000  | 153638.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9993.jpg    | 0.001 | 0.002 | 0.003   | 0.002 | 0.002 | 0.002 | 0.002 | 0.001  | 85639.000   | 85646.000   | 171285.000  | 85642.500   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9983.jpg    | 0.001 | 0.002 | 0.003   | 0.002 | 0.002 | 0.002 | 0.002 | 0.001  | 98198.000   | 98198.000   | 196396.000  | 98198.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9998.jpg    | 0.001 | 0.002 | 0.003   | 0.002 | 0.002 | 0.002 | 0.002 | 0.001  | 61709.000   | 61739.000   | 123448.000  | 61724.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9981.jpg    | 0.001 | 0.002 | 0.003   | 0.002 | 0.002 | 0.002 | 0.002 | 0.001  | 81478.000   | 81486.000   | 162964.000  | 81482.000   |
| 5     | 0   | 5   | 0   | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.001 | 0.003   | 0.001 | 0.001 | 0.001 | 0.001 | 0.000  | 1824.000    | 1824.000    | 9120.000    | 1824.000    |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9986.jpg    | 0.001 | 0.001 | 0.002   | 0.001 | 0.001 | 0.001 | 0.001 | 0.000  | 86717.000   | 86732.000   | 173449.000  | 86724.500   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9989.jpg    | 0.000 | 0.002 | 0.002   | 0.001 | 0.002 | 0.002 | 0.002 | 0.001  | 107552.000  | 107553.000  | 215105.000  | 107552.500  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9990.jpg    | 0.001 | 0.001 | 0.002   | 0.001 | 0.001 | 0.001 | 0.001 | 0.000  | 102464.000  | 102488.000  | 204952.000  | 102476.000  |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /admin/banned      | 0.002 | 0.002 | 0.002   | 0.002 | 0.002 | 0.002 | 0.002 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 1   | 0   | 0   | GET    | /logout            | 0.001 | 0.001 | 0.001   | 0.001 | 0.001 | 0.001 | 0.001 | 0.000  | 24.000      | 24.000      | 24.000      | 24.000      |
+-------+-----+-----+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+-------------+-------------+
